Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy,Cluster
1,"Save Me, San Francisco",Train,1,0.0531,0.639,0.617,0.9328170083523161,0.0433,0.8859999999999999,0.938,0
2,"Hey, Soul Sister",Train,1,0.185,0.6729999999999999,0.0826,0.8808504176157936,0.0431,0.795,0.8859999999999999,1
3,I Got You,Train,1,0.0157,0.608,0.345,0.9505846621108582,0.0916,0.754,0.909,3
4,"Cadillac, Cadillac",Train,1,0.0036299999999999995,0.72,0.33799999999999997,0.9076082004555811,0.0603,0.733,0.956,1
5,Bulletproof Picasso,Train,1,0.011000000000000001,0.5329999999999999,0.363,0.8849202733485195,0.0435,0.509,0.872,3
6,Angel in Blue Jeans,Train,1,0.0151,0.61,0.0998,0.8706757782839789,0.0331,0.688,0.8170000000000001,3
7,She's On Fire,Train,1,0.000294,0.48100000000000004,0.345,0.8568261199696281,0.0379,0.6459999999999999,0.904,3
8,I Wish You Would,Train,1,0.0025800000000000003,0.5660000000000001,0.153,0.8362034927866364,0.0261,0.649,0.833,3
9,Drops of Jupiter,Train,1,0.154,0.46799999999999997,0.154,0.8376613515565682,0.0275,0.499,0.64,3
10,Bad Guy,Eminem,2,0.064,0.612,0.257,0.9049050873196661,0.44799999999999995,0.358,0.797,3
11,Parking Lot (Skit),Eminem,2,0.528,0.425,0.785,0.7481852695520124,0.366,0.126,0.83,0
12,Rhyme or Reason,Eminem,2,0.129,0.845,0.0552,0.8998633257403191,0.24100000000000002,0.6,0.835,1
13,Cold Wind Blows,Eminem,2,0.13,0.619,0.782,1.0000000000000002,0.41600000000000004,0.584,0.972,0
14,On Fire,Eminem,2,0.10099999999999999,0.7240000000000001,0.415,0.8836142748671224,0.287,0.5579999999999999,0.909,0
15,Curtains Up (Skit),Eminem,2,0.0069700000000000005,0.37799999999999995,0.125,0.4147911921032651,0.036000000000000004,0.0313,0.122,3
16,White America,Eminem,2,0.0103,0.5579999999999999,0.105,0.8443735763097951,0.22899999999999998,0.16,0.615,3
17,Business,Eminem,2,0.0325,0.9009999999999999,0.14400000000000002,0.8787547456340169,0.19899999999999998,0.502,0.813,1
18,Blow,Kesha,3,0.0033399999999999997,0.753,0.073,0.8984054669703875,0.0392,0.812,0.7290000000000001,1
19,The Sleazy Remix (feat. André 3000),Kesha,3,0.0129,0.747,0.085,0.8687015945330299,0.213,0.883,0.8759999999999999,1
20,TiK ToK,Kesha,3,0.0991,0.755,0.289,0.9331511009870921,0.142,0.7140000000000001,0.8370000000000001,1
21,Love,Kesha,3,0.006809999999999999,0.826,0.0889,0.897524677296887,0.0982,0.7559999999999999,0.612,1
22,LoveGame,Lady Gaga,4,0.00569,0.894,0.317,0.8452847380410025,0.0523,0.8440000000000001,0.6779999999999999,1
23,Paparazzi,Lady Gaga,4,0.113,0.762,0.094,0.8950341685649205,0.0438,0.397,0.6920000000000001,1
24,Bad Romance,Lady Gaga,4,0.00314,0.696,0.0842,0.9016552771450268,0.0363,0.7140000000000001,0.9209999999999999,1
25,Alejandro,Lady Gaga,4,0.00035800000000000003,0.626,0.36,0.8148823082763859,0.046,0.369,0.799,3
26,Monster,Lady Gaga,4,0.00124,0.6940000000000001,0.479,0.8789369779802584,0.0441,0.6459999999999999,0.8009999999999999,0
27,Young Girls,Bruno Mars,5,0.461,0.561,0.205,0.8653302961275628,0.032,0.501,0.7490000000000001,2
28,Locked Out of Heaven,Bruno Mars,5,0.049,0.726,0.309,0.8892027334851939,0.0431,0.867,0.698,1
29,Gorilla,Bruno Mars,5,0.445,0.7170000000000001,0.0973,0.8153075170842826,0.0371,0.6409999999999999,0.544,2
30,24K Magic,Bruno Mars,5,0.034,0.818,0.153,0.8856492027334854,0.0797,0.632,0.8029999999999999,1
31,Chunky,Bruno Mars,5,0.0208,0.5710000000000001,0.125,0.8806681852695522,0.11599999999999999,0.727,0.539,3
32,Perm,Bruno Mars,5,0.0145,0.853,0.198,0.9028701594533032,0.0851,0.863,0.871,1
33,Grenade,Bruno Mars,5,0.146,0.706,0.11800000000000001,0.7958997722095673,0.0593,0.22699999999999998,0.5579999999999999,1
34,Just the Way You Are,Bruno Mars,5,0.0151,0.637,0.0876,0.8512984054669706,0.0432,0.434,0.843,1
35,Our First Time,Bruno Mars,5,0.381,0.705,0.276,0.7660136674259683,0.0429,0.868,0.451,2
36,Somebody to Love,Justin Bieber,6,0.00248,0.7140000000000001,0.298,0.8565831435079728,0.0259,0.652,0.8340000000000001,1
37,Stuck In the Moment,Justin Bieber,6,0.165,0.7190000000000001,0.133,0.8227486712224755,0.0559,0.36200000000000004,0.698,1
38,Boyfriend,Justin Bieber,6,0.034,0.723,0.263,0.8085345482156417,0.0714,0.31,0.511,1
39,Boyfriend,Justin Bieber,6,0.034,0.723,0.263,0.8085345482156417,0.0714,0.31,0.511,1
40,As Long As You Love Me,Justin Bieber,6,0.0613,0.56,0.22399999999999998,0.8970994684889904,0.0982,0.607,0.847,3
41,Beauty and a Beat,Justin Bieber,6,0.000704,0.601,0.0681,0.8677904328018226,0.0593,0.534,0.843,3
42,Dynamite,Taio Cruz,7,0.00379,0.7509999999999999,0.036000000000000004,0.902596810933941,0.0859,0.816,0.7829999999999999,1
43,Dynamite,Taio Cruz,7,0.00379,0.7509999999999999,0.036000000000000004,0.902596810933941,0.0859,0.816,0.7829999999999999,1
44,Say (All I Need),OneRepublic,8,0.0184,0.5479999999999999,0.153,0.8413363705391042,0.0498,0.31,0.742,3
45,Mercy,OneRepublic,8,0.015,0.47100000000000003,0.109,0.8467425968109341,0.0713,0.196,0.8490000000000001,3
46,Stop and Stare,OneRepublic,8,0.0659,0.49200000000000005,0.0756,0.8858921791951406,0.0332,0.251,0.8590000000000001,3
47,Counting Stars,OneRepublic,8,0.0654,0.664,0.11800000000000001,0.8646924829157178,0.0382,0.47700000000000004,0.705,1
48,Love Runs Out,OneRepublic,8,0.159,0.713,0.0683,0.8522703113135917,0.054000000000000006,0.74,0.903,1
49,If I Lose Myself,OneRepublic,8,0.258,0.519,0.139,0.8429157175398635,0.0402,0.16,0.754,3
50,Counting Stars,OneRepublic,8,0.0654,0.664,0.11800000000000001,0.8646924829157178,0.0382,0.47700000000000004,0.705,1
51,If I Lose Myself,OneRepublic,8,0.258,0.519,0.139,0.8429157175398635,0.0402,0.16,0.754,3
52,Feel Again,OneRepublic,8,0.0201,0.47100000000000003,0.105,0.7722095671981778,0.0538,0.363,0.8220000000000001,3
53,Harlem's Nocturne,Alicia Keys,9,0.345,0.48700000000000004,0.177,0.7148974943052393,0.0883,0.331,0.63,2
54,Karma,Alicia Keys,9,0.0743,0.727,0.0347,0.827304479878512,0.0615,0.687,0.736,1
55,Heartburn,Alicia Keys,9,0.218,0.7170000000000001,0.0378,0.7390432801822325,0.365,0.8390000000000001,0.63,1
