Sno,Song,Artist,ArtistID,Cluster
1,"Save Me, San Francisco",Train,1,0
2,"Hey, Soul Sister",Train,1,1
3,I Got You,Train,1,3
4,"Cadillac, Cadillac",Train,1,1
5,Bulletproof Picasso,Train,1,3
6,Angel in Blue Jeans,Train,1,3
7,She's On Fire,Train,1,3
8,I Wish You Would,Train,1,3
9,Drops of Jupiter,Train,1,3
10,Bad Guy,Eminem,2,3
11,Parking Lot (Skit),Eminem,2,0
12,Rhyme or Reason,Eminem,2,1
13,Cold Wind Blows,Eminem,2,0
14,On Fire,Eminem,2,0
15,Curtains Up (Skit),Eminem,2,3
16,White America,Eminem,2,3
17,Business,Eminem,2,1
18,Blow,Kesha,3,1
19,The Sleazy Remix (feat. André 3000),Kesha,3,1
20,TiK ToK,Kesha,3,1
21,Love,Kesha,3,1
22,LoveGame,Lady Gaga,4,1
23,Paparazzi,Lady Gaga,4,1
24,Bad Romance,Lady Gaga,4,1
25,Alejandro,Lady Gaga,4,3
26,Monster,Lady Gaga,4,0
27,Young Girls,Bruno Mars,5,2
28,Locked Out of Heaven,Bruno Mars,5,1
29,Gorilla,Bruno Mars,5,2
30,24K Magic,Bruno Mars,5,1
31,Chunky,Bruno Mars,5,3
32,Perm,Bruno Mars,5,1
33,Grenade,Bruno Mars,5,1
34,Just the Way You Are,Bruno Mars,5,1
35,Our First Time,Bruno Mars,5,2
36,Somebody to Love,Justin Bieber,6,1
37,Stuck In the Moment,Justin Bieber,6,1
38,Boyfriend,Justin Bieber,6,1
39,Boyfriend,Justin Bieber,6,1
40,As Long As You Love Me,Justin Bieber,6,3
41,Beauty and a Beat,Justin Bieber,6,3
42,Dynamite,Taio Cruz,7,1
43,Dynamite,Taio Cruz,7,1
44,Say (All I Need),OneRepublic,8,3
45,Mercy,OneRepublic,8,3
46,Stop and Stare,OneRepublic,8,3
47,Counting Stars,OneRepublic,8,1
48,Love Runs Out,OneRepublic,8,1
49,If I Lose Myself,OneRepublic,8,3
50,Counting Stars,OneRepublic,8,1
51,If I Lose Myself,OneRepublic,8,3
52,Feel Again,OneRepublic,8,3
53,Harlem's Nocturne,Alicia Keys,9,2
54,Karma,Alicia Keys,9,1
55,Heartburn,Alicia Keys,9,1
56,The Element of Freedom (Intro),Alicia Keys,9,2
57,Love Is Blind,Alicia Keys,9,3
58,Once In a Lifetime,Flo Rida,11,1
59,My House,Flo Rida,11,1
60,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,11,1
61,Finally Here,Flo Rida,11,1
62,Jump (feat. Nelly Furtado),Flo Rida,11,1
63,Gotta Get It (Dancer),Flo Rida,11,1
64,American Superstar (feat. Lil Wayne),Flo Rida,11,1
65,Elevator (feat. Timbaland),Flo Rida,11,1
66,31 Minutes to Takeoff,Mike Posner,12,2
67,Please Don't Go,Mike Posner,12,1
68,Bow Chicka Wow Wow,Mike Posner,12,1
69,"At Night, Alone.",Mike Posner,12,2
70,I Took a Pill in Ibiza,Mike Posner,12,1
71,Not That Simple,Mike Posner,12,1
72,Drug Dealer Girl,Mike Posner,12,1
73,Cooler Than Me,Mike Posner,12,0
74,Red Button,Mike Posner,12,1
75,Like a G6,Far East Movement,13,3
76,Like a G6,Far East Movement,13,3
77,Live My Life (feat. Justin Bieber),Far East Movement,13,1
78,Intro,Usher,14,0
79,Yeah!,Usher,14,1
80,Throwback (feat. Jadakiss),Usher,14,1
81,Scream,Usher,14,3
82,Climax,Usher,14,2
83,You Make Me Wanna...,Usher,14,1
84,Just Like Me,Usher,14,0
85,Nice & Slow,Usher,14,1
86,Intro,Sean Kingston,15,0
87,Kingston,Sean Kingston,15,3
88,Take You There,Sean Kingston,15,1
89,Intro,Sean Kingston,15,0
90,Kingston,Sean Kingston,15,3
91,Take You There,Sean Kingston,15,1
92,Back 2 Life (Live It Up) [feat. T.I.],Sean Kingston,15,1
93,Beat It (feat. Chris Brown & Wiz Khalifa),Sean Kingston,15,3
94,Hold That (feat. Yo Gotti),Sean Kingston,15,1
95,Boom Boom Pow,The Black Eyed Peas,16,1
96,Rock That Body,The Black Eyed Peas,16,1
97,Meet Me Halfway,The Black Eyed Peas,16,1
98,Pump It,The Black Eyed Peas,16,1
99,The Time (Dirty Bit),The Black Eyed Peas,16,1
100,Music Again,Adam Lambert,17,3
101,For Your Entertainment,Adam Lambert,17,1
102,Whataya Want from Me,Adam Lambert,17,3
103,Trespassing,Adam Lambert,17,1
104,Cuckoo,Adam Lambert,17,1
105,Music Again,Adam Lambert,17,3
106,For Your Entertainment,Adam Lambert,17,1
107,Whataya Want from Me,Adam Lambert,17,3
108,If I Never See Your Face Again,Maroon 5,18,1
109,Makes Me Wonder,Maroon 5,18,1
110,Little of Your Time,Maroon 5,18,1
111,Harder To Breathe,Maroon 5,18,1
112,This Love,Maroon 5,18,1
113,Shiver,Maroon 5,18,0
114,One More Night,Maroon 5,18,1
115,Daylight,Maroon 5,18,1
116,Sins of My Youth,Neon Trees,19,3
117,Love and Affection,Neon Trees,19,3
118,Animal,Neon Trees,19,3
119,Moving In the Dark,Neon Trees,19,3
120,Teenage Sounds,Neon Trees,19,3
121,Everybody Talks,Neon Trees,19,3
122,Love In the 21st Century,Neon Trees,19,3
123,Text Me In the Morning,Neon Trees,19,3
124,Sleeping With a Friend,Neon Trees,19,3
125,When the Sun Goes Down,Selena Gomez & The Scene,20,1
126,Round & Round,Selena Gomez & The Scene,20,0
127,A Year Without Rain,Selena Gomez & The Scene,20,1
128,Rock God,Selena Gomez & The Scene,20,1
129,Ring My Bells,Enrique Iglesias,21,1
130,Do You Know? (The Ping Pong Song),Enrique Iglesias,21,1
131,I Like It (feat. Pitbull),Enrique Iglesias,21,1
132,Roar,Katy Perry,22,3
133,Legendary Lovers,Katy Perry,22,1
134,Birthday,Katy Perry,22,1
135,One of the Boys,Katy Perry,22,3
136,I Kissed a Girl,Katy Perry,22,1
137,Waking Up In Vegas,Katy Perry,22,3
138,Teenage Dream,Katy Perry,22,1
139,Last Friday Night (T.G.I.F.),Katy Perry,22,0
140,California Gurls (feat. Snoop Dogg),Katy Perry,22,1
141,Womanizer,Britney Spears,23,1
142,Circus,Britney Spears,23,1
143,Out from Under,Britney Spears,23,2
144,Till the World Ends,Britney Spears,23,1
145,Hold It Against Me,Britney Spears,23,1
146,Inside Out,Britney Spears,23,1
147,Tapp,3OH!3,24,1
148,Punkb*Tch,3OH!3,24,3
149,Beaumont,3OH!3,24,3
150,I Can Do Anything,3OH!3,24,0
151,My First Kiss (feat. Ke$ha),3OH!3,24,1
152,Beaumont,3OH!3,24,3
153,I Can Do Anything,3OH!3,24,0
154,My First Kiss (feat. Ke$ha),3OH!3,24,1
155,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,25,1
156,Little Bad Girl (feat. Taio Cruz & Ludacris),David Guetta,25,1
157,Turn Me On (feat. Nicki Minaj),David Guetta,25,1
158,Dangerous (feat. Sam Martin),David Guetta,25,2
159,What I Did For Love (feat. Emeli Sandé),David Guetta,25,3
160,No Money No Love (feat. Elliphant & Ms. Dynamite),David Guetta,25,1
161,Sexy Bitch (feat. Akon),David Guetta,25,1
162,Gettin' Over You (feat. Fergie & LMFAO),David Guetta,25,1
163,Memories (feat. Kid Cudi),David Guetta,25,3
164,Stripped Intro,Christina Aguilera,26,3
165,Walk Away,Christina Aguilera,26,2
166,Lotus Intro,Christina Aguilera,26,3
167,Army of Me,Christina Aguilera,26,1
168,Red Hot Kinda Love,Christina Aguilera,26,1
169,Dog Days Are Over,Florence + The Machine,27,3
170,Rabbit Heart (Raise It Up),Florence + The Machine,27,3
171,Only If for a Night,Florence + The Machine,27,3
172,Shake It Out,Florence + The Machine,27,0
173,What the Water Gave Me,Florence + The Machine,27,3
174,Ship To Wreck,Florence + The Machine,27,3
175,What Kind of Man,Florence + The Machine,27,3
176,"How Big, How Blue, How Beautiful",Florence + The Machine,27,2
177,How Do You Do,Shakira,28,3
178,Illegal (feat. Carlos Santana),Shakira,28,2
179,Hips Don't Lie (feat. Wyclef Jean),Shakira,28,0
