Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy
1,"Save Me, San Francisco",Train,1,0.0531,0.639,0.617,-2.729,0.0433,0.886,0.938
2,"Hey, Soul Sister",Train,1,0.185,0.673,0.0826,-4.44,0.0431,0.795,0.886
3,I Got You,Train,1,0.0157,0.608,0.345,-2.144,0.0916,0.754,0.909
4,"Cadillac, Cadillac",Train,1,0.00363,0.72,0.338,-3.559,0.0603,0.733,0.956
5,Bulletproof Picasso,Train,1,0.011,0.533,0.363,-4.306,0.0435,0.509,0.872
6,Angel in Blue Jeans,Train,1,0.0151,0.61,0.0998,-4.775,0.0331,0.688,0.817
7,She's On Fire,Train,1,0.000294,0.481,0.345,-5.231,0.0379,0.646,0.904
8,I Wish You Would,Train,1,0.00258,0.566,0.153,-5.91,0.0261,0.649,0.833
9,Drops of Jupiter,Train,1,0.154,0.468,0.154,-5.862,0.0275,0.499,0.64
10,Bad Guy,Eminem,2,0.064,0.612,0.257,-3.648,0.448,0.358,0.797
11,Parking Lot (Skit),Eminem,2,0.528,0.425,0.785,-8.808,0.366,0.126,0.83
12,Rhyme or Reason,Eminem,2,0.129,0.845,0.0552,-3.814,0.241,0.6,0.835
13,Cold Wind Blows,Eminem,2,0.13,0.619,0.782,-0.517,0.416,0.584,0.972
14,On Fire,Eminem,2,0.101,0.724,0.415,-4.349,0.287,0.558,0.909
15,Curtains Up (Skit),Eminem,2,0.00697,0.378,0.125,-19.785,0.036,0.0313,0.122
16,White America,Eminem,2,0.0103,0.558,0.105,-5.641,0.229,0.16,0.615
17,Business,Eminem,2,0.0325,0.901,0.144,-4.509,0.199,0.502,0.813
18,Blow,Kesha,3,0.00334,0.753,0.073,-3.862,0.0392,0.812,0.729
19,The Sleazy Remix (feat. André 3000),Kesha,3,0.0129,0.747,0.085,-4.84,0.213,0.883,0.876
20,TiK ToK,Kesha,3,0.0991,0.755,0.289,-2.718,0.142,0.714,0.837
21,Love,Kesha,3,0.00681,0.826,0.0889,-3.891,0.0982,0.756,0.612
22,LoveGame,Lady Gaga,4,0.00569,0.894,0.317,-5.611,0.0523,0.844,0.678
23,Paparazzi,Lady Gaga,4,0.113,0.762,0.094,-3.973,0.0438,0.397,0.692
24,Bad Romance,Lady Gaga,4,0.00314,0.696,0.0842,-3.755,0.0363,0.714,0.921
25,Alejandro,Lady Gaga,4,0.000358,0.626,0.36,-6.612,0.046,0.369,0.799
26,Monster,Lady Gaga,4,0.00124,0.694,0.479,-4.503,0.0441,0.646,0.801
27,Young Girls,Bruno Mars,5,0.461,0.561,0.205,-4.951,0.032,0.501,0.749
28,Locked Out of Heaven,Bruno Mars,5,0.049,0.726,0.309,-4.165,0.0431,0.867,0.698
29,Gorilla,Bruno Mars,5,0.445,0.717,0.0973,-6.598,0.0371,0.641,0.544
30,24K Magic,Bruno Mars,5,0.034,0.818,0.153,-4.282,0.0797,0.632,0.803
31,Chunky,Bruno Mars,5,0.0208,0.571,0.125,-4.446,0.116,0.727,0.539
32,Perm,Bruno Mars,5,0.0145,0.853,0.198,-3.715,0.0851,0.863,0.871
33,Grenade,Bruno Mars,5,0.146,0.706,0.118,-7.237,0.0593,0.227,0.558
34,Just the Way You Are,Bruno Mars,5,0.0151,0.637,0.0876,-5.413,0.0432,0.434,0.843
35,Our First Time,Bruno Mars,5,0.381,0.705,0.276,-8.221,0.0429,0.868,0.451
36,Somebody to Love,Justin Bieber,6,0.00248,0.714,0.298,-5.239,0.0259,0.652,0.834
37,Stuck In the Moment,Justin Bieber,6,0.165,0.719,0.133,-6.353,0.0559,0.362,0.698
38,Boyfriend,Justin Bieber,6,0.034,0.723,0.263,-6.821,0.0714,0.31,0.511
39,Boyfriend,Justin Bieber,6,0.034,0.723,0.263,-6.821,0.0714,0.31,0.511
40,As Long As You Love Me,Justin Bieber,6,0.0613,0.56,0.224,-3.905,0.0982,0.607,0.847
41,Beauty and a Beat,Justin Bieber,6,0.000704,0.601,0.0681,-4.87,0.0593,0.534,0.843
42,Dynamite,Taio Cruz,7,0.00379,0.751,0.036,-3.724,0.0859,0.816,0.783
43,Dynamite,Taio Cruz,7,0.00379,0.751,0.036,-3.724,0.0859,0.816,0.783
44,Say (All I Need),OneRepublic,8,0.0184,0.548,0.153,-5.741,0.0498,0.31,0.742
45,Mercy,OneRepublic,8,0.015,0.471,0.109,-5.563,0.0713,0.196,0.849
